Nom structure,Logo,Photo,Type structure,Plusieurs lieux en France (en réseau ou en franchise),Nom2,Rue (adresse du lieu d'enseignement),CP,Info adresse,Jour(s) de fermeture,Accès handicapés ?,Centre de formation pro ?,Nombre de salles,Location de salles ?,Site web,Newsletter (à laquelle je souscris via l'adresse bloginfolbc@gmail.com),Réservation cours possible en ligne,Réservation en ligne : site web,Réservation obligatoire en ligne,Adhésion / inscription possible en ligne,Adhésion / inscription : site web,Info inscription,Formulaire d'inscription à remplir,Pour inscription : photocopie carte d'identité,Pour inscription : photo d'identité,Pour inscription : règlement sur place,Pour inscription : certificat médical de moins de 3 mois,Pour inscription : attestation d'assurance,Limite avant annulation sans frais (en nombre de jours),Fixe,Portable,Mail,Mail2,Nom contact,Chèques vacances acceptés,Coupons Sports ANCV accepté,"Tickets loisirs C.A.F. acceptés (y compris les ""tickets temps libre"")",Possibilité financement par l'AFDAS,AFDAS : Possibilité financement DIF,AFDAS : Possibilité financement CIF,Info,Cours annuel uniquement : inscription impérative à cette date précise,Discplines,Attendre début janvier avant de référencer
Personimages - 14e,,,Association,,Centre d'Animation Vercingétorix (CASDAL),"181-183, rue Vercingétorix",75014,,,,,,,http://www.personimages.org/,,,,,,,,Form8,,,,,,,01 45 41 34 44 ,,courriel@personimages.org,,,,,,,,,"Les ateliers Personimages sont des temps de partage. Leur objectif est le plaisir de créer. Pesonimafes reçoit 500 personnes singulières dans 27 ateliers ouverts à Paris et Versailles, dans des ateliers en institutions en Ile-de-France. Personimages souhaite que l’art permette aux personnes en situation de handicap d’exprimer leurs dons, leur sensibilité et qu’il leur fasse découvrir le plaisir de créer et de se dépasser.
Qui accueillons-nous ? Depuis 36 ans, Personimages s’adresse aux personnes de tous âges, venues de tous les horizons, en particulier celui du handicap mental.",,,
Personimages - 12e,,,Association,,Atelier en commun,100 rue de Charenton,75012,,,,,,,http://www.personimages.org/,,,,,,,,Form8,,,,,,,01 45 41 34 44 ,,courriel@personimages.org,,,,,,,,,"Les ateliers Personimages sont des temps de partage. Leur objectif est le plaisir de créer. Pesonimafes reçoit 500 personnes singulières dans 27 ateliers ouverts à Paris et Versailles, dans des ateliers en institutions en Ile-de-France. Personimages souhaite que l’art permette aux personnes en situation de handicap d’exprimer leurs dons, leur sensibilité et qu’il leur fasse découvrir le plaisir de créer et de se dépasser.
Qui accueillons-nous ? Depuis 36 ans, Personimages s’adresse aux personnes de tous âges, venues de tous les horizons, en particulier celui du handicap mental.",,,
Personimages - 16e Erignac,,,Association,,CAJ Mozart,1 place Claude Erignac,75016,,,,,,,http://www.personimages.org/,,,,,,,,Form9,,,,,,,01 45 41 34 44 ,06 30 49 84 79,courriel@personimages.org,,Edith Causse,,,,,,,,,,
Personimages - 16e David,,,Association,,L’OHT,31 rue Félicien David,75016,,,,,,,http://www.personimages.org/,,,,,,,,Form9,,,,,,,01 45 41 34 44 ,06 30 49 84 79,courriel@personimages.org,,Edith Causse,,,,,,,,,,
Personimages - 17e,,,Association,,APEI,44 avenue Niel,75017,,,,,,,http://www.personimages.org/,,,,,,,,Form10,,,,,,,01 45 41 34 44 ,,courriel@personimages.org,,,,,,,,,,,,
Théâtre Le Guichet Montparnasse,,,Ecole privée,,,15 rue du maine,75014,,,,,,,http://www.guichetmontparnasse.com/,,,,,,,,,,,,,,,01 43 27 88 61,,ateliers@guichetmontparnasse.com e,,,,,,,,,,Mi-avril,,
Le Village Chorégraphique,,,Ecole privée,,,40 rue de la Folie-Regnault,75011,,,,,,,http://www.danseparis14.fr/index.php,,,,,X,http://www.danseparis14.fr/inscription.php,,,,,,,,,06 70 23 12 44,,aurelie@levillagechoregraphique.fr,,Aurélie Leduc,X,X,X,,,,,,,
Temps'Danse14 - Lapins,,,Association,,Rosa Parks Salle de Danse,Rue du Moulin des Lapins,75014,Au coin de la rue Didot et de la rue du Château,,,,,,http://www.tempsdanse14.fr/,,,,,,,,Form11,,,,,,,01 45 41 14 95,,contact@tempsdanse14.fr,,,X,X,X,,,,,,,
Temps'Danse14 - Guilleminot,,,Association,,Salle de danse ou salle polyvalente,22 rue Guilleminot,75014,,,,,,,http://www.tempsdanse14.fr/,,,,,,,,Form11,,,,,,,01 45 41 14 95,,contact@tempsdanse14.fr,,,X,X,X,,,,,,,
Centre de Danse du Marais,,,Ecole privée,,,"41, rue du Temple",75004,,,,,,,http://www.paris-danse.com/,,,,,,,,,,,,,,,01 42 77 58 19,,centrededansedumarais@yahoo.fr ,info@parisdanse.com,,,,,,,,,,,
DanCenter,,,Ecole privée,Oui : Paris + Clermont-Ferrand,,6 impasse de Lévis,75017,,,,,,,http://www.dancenter-paris.com/,,,,,,,,,,,,,,,01 43 80 90 23,,,,,,,,,,,,,Danse adultes ados enfants,
Académie de Danse du 17e,,,Ecole privée,,,24 rue des Apennins,75017,,,,,,,http://academie17.free.fr/,,,,,,,,,,,,,,,01 44 85 37 81,06 15 24 84 25,,,,,,,,,,,,Danse adultes ados enfants,
Goubé European Dance Center,,,Ecole privée,,,8 rue Émile Allez,75017,,,,,,,http://jgoubeparis.free.fr/,,,,,,,,,,,,,,,01 45 63 40 21,01 45 62 23 16,jgoubeparis@free.fr,,,,,,,,,,,Danse adultes ados enfants,
La Maison Moadon,,,Association,,,66 rue Laugier,75017,,,,,,,http://www.maisonmoadon.fr/,,,,,,,,,,,,,,,01.44.01.03.23,,pascale@maisonmoadon.fr,,,,,,,,,,,"Toutes disciplines TB : les ai eu au tél : cours d'essai gratuit pour toute discipline. N'ont pas eu assez de mondes pour 2 cours adultes, donc annulés : dessin et yoga, mais les présenter quand même !",
Centre d'Animation Interclub 17,,,Municipal,,,88 rue de la Jonquière,75017,,,,,,,http://www.anim-lajonquiere.org/,,,,,,,,,,,,,,,01 42 27 68 81,,,,,,,,,,,,,Ok eu au tél 2 lieux dans le 17ème. Adhésion 15€ non obligatoire pour l'Assoce. Cours d'essai gratuit possible.,
Centre d'Animation La Jonquière,,,Municipal,,,"47, rue de Saussure",75017,,,,,,,http://www.anim-lajonquiere.org/,,,,,,,,,,,,,,,01 42 29 78 79,,,,,,,,,,,,,Ok eu au tél 2 lieux dans le 17ème. Adhésion 15€ non obligatoire pour l'Assoce. Cours d'essai gratuit possible.,
Les Ateliers de l'Etoile,,,Association,,,5 rue de l'Arc de Triomphe,75017,,,,,,,http://ateliersdeletoile.org/,,,,,,,,,,,,,,,01 46 40 05 09,06 63 62 65 00,,,,,,,,,,,,Peinture dessin activités artisitiques,
Chant libre,,,Association,,,33 rue de la condamine ,75017,,,,,,,http://www.lechoeurdelaville.fr/,,,,,,,,,,,,,,,01 43 87 49 80,06 10 53 19 30,,,,,,,,,,,,"Chant et piano, cours indiv",
Compagnie La Nuit Comme en Plein Jour,,,Association,,,12 bis rue Saint Jean,75017,,,,,,,http://www.courstheatreparislanuit.fr/,,,,,,,,,,,,,,,01 71 97 82 64,06 11 62 12 46,lanuitcomme@neuf.fr,,,,,,,,,,,Théâtre,
Les Ateliers Seguin - Rennes,,,Association,,,"112, rue de Rennes",75006,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Pernet,,,Association,,,"13, place Etienne Pernet",75015,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Ecoliers,,,Association,,,"4 quater, passage des Ecoliers",75015,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Avre,,,Association,,,"17, rue de l’Avre",75015,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Gutenberg,,,Association,,,"50, rue Gutenberg",75015,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Pereire,,,Association,,,"23, boulevard Pereire",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Batignolles,,,Association,,,"44, bvd des Batignolles",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Daubigny,,,Association,,,"28, rue Daubigny",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Fleurs,,,Association,,,"44, cité des Fleurs",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Epinettes,,,Association,,,"22, rue des Epinettes",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Saint Jean,,,Association,,,"12bis, place Saint Jean",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Brémontier,,,Association,,,"5, rue Brémontier",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Saussure,,,Association,,,"164, rue de Saussure",75017,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Les Ateliers Seguin - Rébeval,,,Association,,,36 rue Rébeval,75019,,,,,,,http://lesateliersseguin.com/,,,,,,,,,,,,,,,07 60 44 42 66,,benedicte@lesateliersseguin.com,,,,,,,,,,,"Cours et stages, super !",
Espace 16,,,Association,,,16 rue Roger Bacon ,75017,,,,,,,http://www.espace16.fr/,,,,,,,,,,,,,,,01 45 72 41 48 ,,contact@espace16.fr,,,,,,,,,,,Super programme ! Très divers,
Cours Clément - Studio 61,,,Association,,,61 rue du Ruisseau,75018,,,,,,,http://www.cours-clement.com/,,,,,,,,,,,,,,,09 53 05 48 55,,inscription@cours-clement.com,,,,,,,,,,,Théâtre,
Cours Clément - Goubé,,,Association,,,8 rue Émile Allez,75017,,,,,,,http://www.cours-clement.com/,,,,,,,,,,,,,,,09 53 05 48 55,,inscription@cours-clement.com,,,,,,,,,,,Théâtre. cours d'essai (gratuit) après votre pré inscription,
Cours Clément - La Tortue,,,Association,,,30 rue de Bruxelles,75009,,,,,,,http://www.cours-clement.com/,,,,,,,,,,,,,,,09 53 05 48 55,,inscription@cours-clement.com,,,,,,,,,,,Théâtre. cours d'essai (gratuit) après votre pré inscription,
Cours Philippe Gilbert - Champs,,,Association,,Comédie des Champs-Elysées,"15, av Montaigne",75008,,,,,,,http://www.cours-theatre.net/,,,,,,,,,,,,,,,06 03 12 78 41,,p.gilbert@cours-theatre.net,,Philippe GILBERT,,,,,,,,,"Inscription possible en cours d’année, Débutants bienvenus",
Cours Philippe Gilbert - Muette,,,Association,,,Métro Muette,75016,,,,,,,http://www.cours-theatre.net/,,,,,,,,,,,,,,,06 03 12 78 41,,p.gilbert@cours-theatre.net,,Philippe GILBERT,,,,,,,,,"Inscription possible en cours d’année, Débutants bienvenus",
Cours Philippe Gilbert - Batignolles,,,Association,,,Boulevard des Batignolles,75017,,,,,,,http://www.cours-theatre.net/,,,,,,,,,,,,,,,06 03 12 78 41,,p.gilbert@cours-theatre.net,,Philippe GILBERT,,,,,,,,,"Inscription possible en cours d’année, Débutants bienvenus",
Cours Philippe Gilbert - La Motte,,,Association,,,Métro La Motte Picquet Grenelle,75015,,,,,,,http://www.cours-theatre.net/,,,,,,,,,,,,,,,06 03 12 78 41,,p.gilbert@cours-theatre.net,,Philippe GILBERT,,,,,,,,,"Inscription possible en cours d’année, Débutants bienvenus",
Les Ecoles Amateurs Le Nôtre - Pavillon Elysée ,,,Ecole privée,,,10 avenue des Champs Elysées,75008,,,,,,,http://www.lenotre.com/,,,,,,,,,,,,,,,01 30 81 44 96,,,,,,,,,,,,,,
Les Ecoles Amateurs Le Nôtre - Porte de Vincennes,,,Ecole privée,,,22 avenue de la Porte de Vincennes,75012,,,,,,,http://www.lenotre.com/,,,,,,,,,,,,,,,01 30 81 44 96,,,,,,,,,,,,,,
L'Atelier des Sens - Atelier Bastille,,,Ecole privée,,,40 rue Sedaine,75011,"Notre atelier est situé au fond de la cour. Le code du porche n'est pas nécessaire en semaine entre 9h et 20h. Pour les cours débutant après 20h ou se déroulant le week end, un email vous indiquant le code du porche vous sera envoyé 48h avant le début du cours.",,,,,,http://www.atelier-des-sens.com/,,,,,,,,,,,,,,,01 40 21 08 50,,contact@atelier-des-sens.com ,,,,,,,,,,,"Aller sur le planning des cours, et cliquer sur imprimer ! Référencer début janvier car pour l'instant les cours n'y sont que jusqu'à fin janvier",OK jusqu'à fin fév.
L'Atelier des Sens - Atelier Beaubourg,,,Ecole privée,,,10 rue du Bourg L'Abbé,75003,,,,,,,http://www.atelier-des-sens.com/,,,,,,,,,,,,,,,01 40 21 08 50,,contact@atelier-des-sens.com ,,,,,,,,,,,"Aller sur le planning des cours, et cliquer sur imprimer ! Référencer début janvier car pour l'instant les cours n'y sont que jusqu'à fin janvier",OK jusqu'à fin fév.
L'Atelier des Sens - Atelier Haussmann,,,Ecole privée,,,32 rue Vignon,75009,"Notre atelier est situé à deux pas du Printemps Haussmann. En devanture, vous pourrez visiter le concept store de L'Effet Maison.",,,,,,http://www.atelier-des-sens.com/,,,,,,,,,,,,,,,01 40 21 08 50,,contact@atelier-des-sens.com ,,,,,,,,,,,"Aller sur le planning des cours, et cliquer sur imprimer ! Référencer début janvier car pour l'instant les cours n'y sont que jusqu'à fin janvier",OK jusqu'à fin fév.
L'Atelier des Sens - Autres (place d'Italie),,,Ecole privée,,,Place d'Italie,75013,,,,,,,http://www.atelier-des-sens.com/,,,,,,,,,,,,,,,01 40 21 08 50,,contact@atelier-des-sens.com ,,,,,,,,,,,"Aller sur le planning des cours, et cliquer sur imprimer ! Référencer début janvier car pour l'instant les cours n'y sont que jusqu'à fin janvier",OK jusqu'à fin fév.
Alain Cirelli - Atelier Condorcet,,,Ecole privée,,,24 Rue Condorcet,75009,Nous vous recevons dans notre cuisine-appartement !,,,,,,http://www.evenements-culinaires.fr/,,,,,,,,,,,,,,,01 48 78 77 13,,,,,,,,,,,,,Planning pour janvier / fév en ligne le 15 déc,OK jusqu'à fin fév.
Alain Cirelli - Atelier Paradis,,,Ecole privée,,,54 Rue de Paradis,75010,Nous vous recevons dans notre loft événementiel !,,,,,,http://www.evenements-culinaires.fr/,,,,,,,,,,,,,,,01 48 78 77 13,,,,,,,,,,,,,Planning pour janvier / fév en ligne le 15 déc,OK jusqu'à fin fév.
Cook & Go - St Jacques,,,Ecole privée,,,17 Boulevard Saint Jacques,75014,,,,,,,http://www.cook-and-go.com/,,,,,,,,,,,,,,,01 53 62 29 87,,,,,,,,,,,,,-7% avec le site CashBack ! Planning pour janvier / fév en ligne fin déc,X
Cook & Go - St Charles,,,Ecole privée,,,175 rue St Charles,75015,,,,,,,http://www.cook-and-go.com/,,,,,,,,,,,,,,,01 45 58 37 91,,,,,,,,,,,,,-7% avec le site CashBack ! Planning pour janvier / fév en ligne fin déc,X
Cook & Go - La Fayette,,,Ecole privée,,,69 rue La Fayette,75009,,,,,,,http://www.cook-and-go.com/,,,,,,,,,,,,,,,01 42 80 00 59,,,,,,,,,,,,,-7% avec le site CashBack ! Planning pour janvier / fév en ligne fin déc,X
L'Ecole de Cuisine Alain Ducasse,,,Ecole privée,,,"64, rue du Ranelagh",75016,,,,,,,http://www.ecolecuisine-alainducasse.com/,,,,,,,,,,,,,,,01 44 90 91 00,,ecole@alain-ducasse.com,,,,,,,,,,,OK tout référencé jusqu'à fin déc. 2013,
École des Gourmets,,,Ecole privée,,,"154, rue de Charenton",75012,,,,,,,http://www.ecoledesgourmets.com/,,,,,,,,,,,,,,,01 43 42 34 38,,,,,,,,,,,,,Planning pour janvier / fév fin de l'année,
L'Atelier des Chefs - Penthièvre,,,Ecole privée,X,,10 rue de Penthièvre,75008,,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 53 30 05 82,,accueil-penthievre@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
L'Atelier des Chefs - Péclet,,,Ecole privée,X,,"27, rue Péclet",75015,,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 56 08 33 50,,accueil-peclet@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
L'Atelier des Chefs - Lafayette Maison,,,Ecole privée,X,,"35, boulevard Haussmann",75009,Niveau : -1 / sous-sol.,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 49 70 97 50,,accueil-stlazare@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
L'Atelier des Chefs - Printemps Nation,,,Ecole privée,X,,"21, Cours de Vincennes",75020,,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 49 70 97 50,,accueil-stlazare@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
L'Atelier des Chefs - St-Lazare,,,Ecole privée,X,,"20, rue St Lazare",75009,,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 49 70 97 50,,accueil-stlazare@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
L'Atelier des Chefs - Hôtel de Ville,,,Ecole privée,X,,8 rue Pernelle,75004,,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 44 54 39 10,,info-hoteldeville@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
L'Atelier des Chefs - Bibliothèque,,,Ecole privée,X,,162 Avenue de France,75013,,,,,,,http://www.atelierdeschefs.fr/,,,,,,,,,,,,,,,01 53 30 27 06,,formation@atelierdeschefs.com,,,,,,,,,,,Cours référencés jusqu'au 13 fév seulement (peu de visibilité !),
What's for Dinner (Les Ateliers de cuisine bio d'Amandine),,,Ecole privée,,Restaurant La Cantine Vagabonde,11 rue d'Aubervilliers,75018,,,,,,,http://www.whats-for-dinner.info/,,,,,,,,,,,,,,,06 61 72 28 41,,amandinegeers@wanadoo.fr,,,,,,,,,"What's for dinner, c'est cuisiner bon et sain à la mode écolo. Amandine Geers et Olivier Degorce, auteurs de nombreux livres de cuisine bio dispensent des cours de cuisine entre Paris et Niort pour les amoureux des produits bios. Vous y découvrirez une cuisine familiale et de saison, respectueuse de l'environnement et réellement délicieuse. ",,"1 atelier par mois : 2013 dispo sur le site web. En 2013 : 1 atelier : 58 euros, 2 ateliers : 116 euros, Abonnement 4 ateliers : 220 euros (soir 55 euros l’atelier)",
Atelier Guy Martin,,,Ecole privée,,,35-37 rue Miromesnil,75008,,,,,,,http://www.atelierguymartin.com/,,,,,,,,,,,,,,,01 42 66 33 33,,,,,,,,,,,,,OK fait jusqu'à fin fév 2013,
Cuisine Attitude (By Cyril Lignac),,,Ecole privée,,,10 cité Dupetit Thouars,75003,,,,,,,http://www.cuisineattitude.com/,,,,,,,,,,,,,,,01 49 96 00 50,,ecole@cuisineattitude.com,,,,,,,,,,,Calendrier déjà fait jusqu'à fin mars 2013. Voir offres spéciales pour réductions,
ZenZoo Foodi,,,Ecole privée,,,2 Rue du Nil,75002,,,,,,,http://www.zenzoofoodi.com/,,,,,,,,,,,,,,,01 45 08 48 28,,zenzoofoodi@gmail.com,,,,,,,,,,,Trop peu de cours : pas référencé,
Le Cordon Bleu,,,Ecole privée,,,8 Rue Léon Delhomme,75015,,,,,,,http://www.cordonbleu.edu/home,,,,,,,,,,,,,,,01 53 68 22 50,,paris@cordonbleu.edu,,,,,,,,,,,Calendrier déjà fait jusqu'à fin décembre 2013 ! Voir doc PDF,
Association Culturelle Franco-Japonaise de TENRI,,,Ecole privée,,,8-12 rue Bertin Poirée,75001,,,,,,,http://www.tenri-paris.com/,,,,,,,,,,,,,,,01 44 76 06 06,,,,,,,,,,,,,"Cuisine japonaise et cours de cérémonie du thé et plein d'autres cours (art floral, etc.) ! Planning pour janvier seulement",
Le Musée du Vin,,,Musée,,,"5 Square Charles Dickens, Rue des Eaux",75016,,,,,,,http://www.museeduvinparis.com/,,,,,,,,,,,,,,,01 45 25 70 89 ,01 45 25 63 26,mlc@museeduvinparis.com,,,,,,,,,,,Mail envoyé pour recevoir le programme 1er T 2013,
Terroir experience,,,Ecole privée,,Hôtel Tilsitt Etoile,23 rue Brey,75017,,,,,,,http://www.terroirexperience.com/,,,,,,,,,,,,,,,04 50 01 84 37,,,,,,,,,,,,,Calendrier déjà fait jusqu'à fin février 2013,
L'Ecole du Vin,,,Ecole privée,,,48 rue Baron le Roy,75012,,,,,,,http://www.ecole-du-vin.fr/,,,,,,,,,,,,,,,01 43 41 33 94,,info@ecoleduvin.com,,,,,,,,,"Notre méthode de dégustation : un carnet de dégustation sera à votre diposition. Sous forme d'un livret de 48 pages, ce carnet comprend :

- une fiche type de dégustation pour le vocabulaire du vin, 
- des fiches vierges pour vos commentaires sur les vins dégustés, 
- des cartes viticoles des régions françaises, 
- un espace pour vos notes.

Des verres spécifiques : vous dégusterez les vins dans des verres spécifiquement conçus pour vous donner les meilleures sensations aromatiques et gustatives. Les vins seront servis par un sommelier.

Les formateurs de l'Ecole du vin : œnologues, experts, sommeliers, etc., ils sont des professionnels des métiers du vin. Ils vous feront partager leur expertise au travers d'anecdotes, conseils d'achat, de stockage, points de vue objectifs...

8 cours d'œnologie de 2H30 avec des dégustations de vins authentiques, des anecdotes, des supports pédagogiques pour reconnaitre et apprécier les vins de qualité.",,OK référencé jusqu'à fin oct. 2013,
Haut de Forme - Tournelles,,,Ecole privée,,Chef Martial : Atelier Place des Vosges,80 rue des Tournelles,75003,,,,,,,http://www.hautdeforme.fr/,,,,,,,,,,,,,,,01 44 54 02 18,,contact@hautdeforme.fr,,,,,,,,,,,"Calendrier 2013 complet. Plein de cours de cuisine et dégustation (bière, wisky, etc.) : les lieux changent entre le 3eme et le 10eme, communiqué 1 semaine avant par tél et mail. Les cours de cafés sont les seuls cours individuels donnés à la Caféothèque",
Haut de Forme - Enghien,,,Ecole privée,,Chef Martial : Atelier Grands Boulevards,22 rue d'Enghien,75010,,,,,,,http://www.hautdeforme.fr/,,,,,,,,,,,,,,,01 44 54 02 18,,contact@hautdeforme.fr,,,,,,,,,,,"Calendrier 2013 complet. Plein de cours de cuisine et dégustation (bière, wisky, etc.) : les lieux changent entre le 3eme et le 10eme, communiqué 1 semaine avant par tél et mail. Les cours de cafés sont les seuls cours individuels donnés à la Caféothèque",
Haut de Forme - Daguerre,,,Ecole privée,,,57 rue Daguerre,75014,,,,,,,http://www.hautdeforme.fr/,,,,,,,,,,,,,,,01 44 54 02 18,,contact@hautdeforme.fr,,,,,,,,,,,"Calendrier 2013 complet. Plein de cours de cuisine et dégustation (bière, wisky, etc.) : les lieux changent entre le 3eme et le 10eme, communiqué 1 semaine avant par tél et mail. Les cours de cafés sont les seuls cours individuels donnés à la Caféothèque",
Ô Château,,,Ecole privée,,,"68, rue Jean-Jacques Rousseau",75001,,,,,,,http://www.o-chateau.fr/,,,,,,,,,,,,,,,01 44 739 780,,contact@o-chateau.com,,,,,,,,,,,"OK fait jusqu'à fin sept 2013 (à partir de début oct., les cours ne sont pas référencés) ! Cours d'œnologie en anglais !",
Le Vin En Tête - St-Georges,,,Ecole privée,,Cave Saint-Georges,48 rue Notre Dame de Lorette,75009,,,,,,,http://www.levinentete.fr/,,,,,,,,,,,,,,,01 45 22 82 60,01 53 21 90 17,contact@levinentete.fr,,,,,,,,,,,"Programme PDF jusqu'à fin 2013 / Aller sur les fiches de chaque type de cours pour toutes les formules / + Le Blindtest tous les mercredis à 17h (à la cave des Batignolles : renseigner en cours gratuit, car on y apprend une bouteille gratuitement). Marine BARON eu au tél le 14/12/12, était intéressée par LeBonCours, revenir vers elle quand plus abouti. Note : vont développer prochainement un site de réservation en ligne. Ont quelques partenaires qu'ils ont pas mal réduit, mais plus le voir avec Marine qui a l'habitude de ça. En janvier : vont mettre en ligne leurs cours donc n'auront pas le tps forcément  de s'en intéresser.",
Le Vin En Tête - Batignolles,,,Ecole privée,,Cave Batignolles,30 rue des Batignolles ,75017,,,,,,,http://www.levinentete.fr/,,,,,,,,,,,,,,,01 45 22 82 60,01 44 69 04 57,contact@levinentete.fr,,,,,,,,,,,"Programme PDF jusqu'à fin 2013 / Aller sur les fiches de chaque type de cours pour toutes les formules / + Le Blindtest tous les mercredis à 17h (à la cave des Batignolles : renseigner en cours gratuit, car on y apprend une bouteille gratuitement). Marine BARON eu au tél le 14/12/12, était intéressée par LeBonCours, revenir vers elle quand plus abouti. Note : vont développer prochainement un site de réservation en ligne. Ont quelques partenaires qu'ils ont pas mal réduit, mais plus le voir avec Marine qui a l'habitude de ça. En janvier : vont mettre en ligne leurs cours donc n'auront pas le tps forcément  de s'en intéresser.",
Centre de Dégustation de Jacques Vivet,,,Ecole privée,,,"48, rue de Vaugirard",75006,,,,,,,http://www.ecolededegustation.fr/,,,,,,,,,,,,,,,01 43 25 96 30,06 07 28 61 85,info@ecolededegustation.fr,,,,,,,,,,,Original car cours sur plusieurs séances. Mettre les cours du début 2013,
ABC Dégustation - Paris,,,Ecole privée,,Hôtel de la Félicité,43 Rue de la Félicité,75017,,,,,,,http://www.abcdegustation.fr/,,,,,,,,,,,,,,,01 47 30 89 19,,contact@abcdegustation.com ,,,,,,,,,,,,
ABC Dégustation - Levallois-Perret,,,Ecole privée,,,32 rue Jules Guesde,92300,,,,,,,http://www.abcdegustation.fr/,,,,,,,,,,,,,,,01 47 30 89 19,,,,,,,,,,,,,"Pour les cours de cigares, tout se fait à Levallois (je les ai appelés)",
Yogarts,,,Association,,,31 rue de Maubeuge,75009,,,,,,,www.yogarts-paris.com,,,,,,,,,,,,,,,06 64 75 99 17,,yogarts.karine@gmail.com,,,,,,,,,,,"Structure de Karine, prof de yoga de Mary",
Centre d'Animation de l'Espace Beaujon,,,Association,,,"208, rue du faubourg Saint-Honoré",75008,,,,,,,http://www.ebeaujon.org/,,,,,,,,,,,,,,,01 42 89 17 32,,info@ebeaujon.org,,,,,,,,,,,"Super planning, plein de disciplines. Prix au QF. Cours d'essai gratuit. Forfait annuel au prorata possibilité de rejoindre en cours d'année. Pour le sprix : fenêtre ""infos pratiques""",
Institut International de Danse Janine Stanlowa,,,Ecole privée,,,23 rue de la Baume ,75008,,,,,,,http://www.institut-stanlowa.com/,,,,,,,,,,,,,,,01 45 62 88 99,,,,,,,,,,,,,,
Actuel Tap Dance,,,Association,,,"26, villa Wagram",75008,,,,,,,http://actueltapdance.free.fr/,,,,,,,,,,,,,,,06 12 04 21 94,,,,,,,,,,,,,,
